,name,language
0,cups,C
1,swift-lldb,C++
2,swift-llvm,LLVM
3,swift-clang,C++
4,example-package-playingcard,Swift
5,example-package-fisheryates,Swift
6,example-package-deckofplayingcards,Swift
7,example-package-dealer,Swift
8,swift-3-api-guidelines-review,Swift
9,swift-internals,HTML
10,fstools,C
11,swift-compiler-rt,C
12,swift-xcode-playground-support,Swift
13,ccs-caldavclientlibrary,HTML
14,ccs-caldavtester,Python
15,ccs-calendarserver,Python
16,ccs-pyosxframeworks,Python
17,ccs-pycalendar,Python
18,ccs-pykerberos,C
19,ccs-pyopendirectory,C++
20,ccs-pysecuretransport,Python
21,ccs-twistedextensions,Python
22,swift-protobuf,Swift
23,swift-protobuf-plugin,
24,swift-protobuf-test-conformance,
25,darwin-xnu,C
26,darwin-libpthread,C
27,darwin-libplatform,C
28,coremltools,Python
29,turicreate,C++
30,foundationdb,C++
31,swift-nio,Swift
32,swift-nio-ssl,C++
33,swift-nio-ssl-support,Swift
34,swift-nio-zlib-support,Swift
35,swift-nio-http2,Swift
36,swift-nio-nghttp2-support,Swift
37,swift-nio-extras,Swift
38,ml-all-pairs,Python
39,swift-numerics,Swift
40,swift-nio-transport-services,Swift
41,servicetalk,Java
42,swift-nio-examples,Swift
43,swift-clang-tools-extra,C++
44,swift-libcxx,C++
45,swift-log,Swift
46,eidas,Go
47,swift-metrics,Swift
48,ml-ncg,Python
49,ml-cvpr2019-swd,Python
50,swift-statsd-client,Swift
51,llvm-monorepo-root,
52,apple-llvm-infrastructure-tools,C++
53,swift-distributed-actors,Swift
54,swift-crypto,Assembly
55,swift-nio-ssh,Swift
56,llvm-project-v5,C++
57,llvm-project-v5-split,C++
58,ml-afv,Python
59,ml-data-parameters,Python
60,ml-multiple-futures-prediction,Python
61,ml-cifar-10-faster,Python
62,HomeKitADK,C
63,ml-capsules-inverted-attention-routing,Python
64,swift-nio-imap,Swift
65,swift-standard-library-preview,Swift
66,swift-evolution-staging,Swift
67,swift-argument-parser,Swift
68,password-manager-resources,JavaScript
69,swift-service-discovery,Swift
70,ml-dab,Python
71,ml-quant,Python
72,swift-llbuild2,Swift
73,swiftpm-on-llbuild2,Swift
74,openjdk,Java
75,swift-tools-support-async,Swift
76,FHIRModels,Swift
77,swift-http-structured-headers,Swift
78,ml-mkqa,Python
79,swift-cluster-membership,Swift
80,swift-async-dns-resolver,Swift
81,ml-transcript-translation-consistency-ratings,
82,apple_rules_lint,Starlark
83,swift-distributed-tracing,Swift
84,swift-distributed-tracing-baggage-core,Swift
85,swift-service-context,Swift
86,swift-system,Swift
87,swift-algorithms,Swift
88,swift-atomics,Swift
89,ml-qrecc,Python
90,swift-distributed-tracing-extras,Swift
91,swift-metrics-extras,Swift
92,ml-tree-dst,Python
93,ml-collegial-ensembles,Python
94,tensorflow_macos,Shell
95,ml-hypersim,Python
96,ml-flair,Jupyter Notebook
